SaleDate,QuantityKg,UnitPrice,WholesalePrice,LossRate,QuantityCluster,AvgPriceKg,RelativeLossRate,MarginRate,segmentation
2020-08-06,5.209766802464549,7.0685044545641995,6.548749572480595,5.054324223877023,5.673290160398837,5.0893267433894325,5.158549821022771,6.918017556126194,2
2020-08-07,5.284022510645755,6.975031018724574,6.623680513818422,5.055966964931968,5.594675565163603,5.069303343009271,5.117120113876338,6.507481235173084,2
2020-08-08,5.345765516755768,7.278484256967189,6.846890392273576,5.0690477279512605,5.720280189513896,5.0729685897102295,5.113025323092608,6.667744734532134,2
2020-08-09,5.420231263275868,7.694752649574663,7.39255537736857,5.055556558624523,6.1463086280955785,5.110171492699602,5.072252217320081,6.282145355528216,2
2020-08-10,5.3683580639539015,7.325932818040786,7.0051000839763375,5.057336864135292,5.808113558897175,5.082261302312735,5.088021530839691,6.368998113493873,2
2020-08-11,5.389634886687105,7.226347448582082,6.919911458417547,5.066066325061628,5.888851271241692,5.068812567586906,5.093842237403503,6.339443385397856,2
2020-08-12,5.322499439511483,7.084302166160219,6.848621184746523,5.0515299712846495,5.752542054512325,5.079725562346835,5.093756689885035,6.135269619824907,2
2020-08-13,5.352991926928303,7.251479985669372,6.928949453400533,5.055886806767187,5.8550443174908535,5.078919188590544,5.090567814357178,6.382811395768876,2
2020-08-14,5.275009670721819,6.990063448793042,6.624981628611214,5.052408879826617,5.616736064647948,5.072200474839168,5.114565107834455,6.543016296867227,2
2020-08-15,5.352674700888124,7.0786706705013325,6.784977703199184,5.059433401373089,5.765160901979689,5.065632562636962,5.095999525801083,6.321493984753036,2
2020-08-16,5.314251570588024,6.990799967971577,6.7666413440787485,5.05934549891003,5.680139728232923,5.0740584565874425,5.109943929072862,6.108041946368097,2
2020-08-17,5.228009520621567,6.740980678818832,6.547775402749862,5.050838996035842,5.501218887684377,5.081134358592586,5.137142054024789,6.033111019252594,0
2020-08-18,5.253489264997512,6.896280055820958,6.677411324482312,5.051521343817892,5.60208327075936,5.085251500111018,5.123621655845945,6.103051903985348,2
2020-08-19,5.291953993610221,7.0097615047742075,6.8740023708329065,5.050445786854956,5.70041135243224,5.092737750130575,5.10340398667166,5.763518958502782,2
2020-08-20,5.2260926680902005,6.588362860806595,6.3212184916171,5.0510491356022325,5.433679933187338,5.05919901073085,5.13888116555982,6.3336436779833845,0
2020-08-21,5.26493309186481,6.854871632326788,6.587481646218614,5.046710823945709,5.541225764400162,5.071770528876764,5.107973168686156,6.275457170092536,2
2020-08-22,5.295510260753733,7.018572210769101,6.674599732100427,5.043813127586111,5.6869426984798865,5.070718839793122,5.089916701359453,6.4786373384011275,2
2020-08-23,5.354907347612556,7.280277249153984,6.921865624259811,5.060826166267678,5.8318542249449274,5.077693213770879,5.097345075307114,6.478673942943202,2
2020-08-24,5.471162354202344,7.125757931361919,6.857167384256085,5.071184794403364,5.765160901979689,5.048873052598933,5.079070925615796,6.237276787863595,2
2020-08-25,5.351456944425818,6.926174956413074,6.628742672658943,5.069097561141624,5.63832038436393,5.0532195920889285,5.11093623439559,6.357705573548402,2
2020-08-26,5.360786714462915,7.581918583682653,7.029132174393434,5.074317040709109,5.9053355972703265,5.086930619921497,5.115135372512086,6.903298954633482,2
2020-08-27,5.340199755876374,7.3302022856787135,6.817075763779538,5.059207404057274,5.814101773467167,5.071654506988857,5.099900925301084,6.852356968510549,2
2020-08-28,5.487057306749465,7.259883156929596,6.840397177054521,5.056372584332635,5.866440765027256,5.045505308087758,5.060044072794921,6.6404045456388365,2
2020-08-29,5.510474249194575,7.400492509359312,7.0985907940288415,5.048085642278695,5.825971688359029,5.060019498478261,5.047930147613681,6.306530091785917,2
2020-08-30,5.351347889999983,7.555115224261643,7.045280256946242,5.060432824177605,5.796028467931261,5.091577376324506,5.097945465062309,6.813131107907292,2
2020-08-31,5.3066543475858285,7.249776637911968,6.903155080363229,5.052733673800361,5.777622496426858,5.090710768988465,5.101622747288537,6.450544353695257,2
2020-09-01,5.2719650035378995,7.042627342832789,6.636406248028507,5.051712514673465,5.572117400665136,5.074310017470481,5.114647917467409,6.64356861453866,2
2020-09-02,5.2147692550994735,6.553919680411176,6.17692775974711,5.06016995294964,5.484756957955677,5.050090476606849,5.168938050463607,6.692187946478718,0
2020-09-03,5.317086941255717,7.163164928455229,6.807227916012129,5.072463238777493,5.872090651328678,5.0772003836009825,5.130682621747579,6.488415281093045,2
2020-09-04,5.217331613994181,6.712944494762422,6.404319559303591,5.070877190053665,5.60208327075936,5.07019431442824,5.192381276411441,6.437295857060986,0
2020-09-05,5.4851137550344715,7.39522447221329,7.113370393795159,5.057084530820705,6.018569774047865,5.0656469327303775,5.061133174418082,6.24772491968912,2
2020-09-06,5.468555234120219,7.5360387474496005,7.0499406876835575,5.071707675413917,6.03784792702924,5.0635450494372085,5.080228995364175,6.762069428702392,2
2020-09-07,5.213376749991328,6.650007816579186,6.298968301984378,5.0581026450676845,5.450997105451789,5.061338385061965,5.165026365941247,6.583731959169448,0
2020-09-08,5.154247011286464,6.434531054925725,6.04284745694045,5.0601866957951005,5.389027738386025,5.0591853681665055,5.234312093426299,6.783985062782853,0
2020-09-09,5.1670540632268835,6.535227288461088,6.10372204749191,5.064920593198245,5.433679933187338,5.059868539360741,5.231333799505865,6.856957528992813,0
2020-09-10,5.161256128993959,6.539861013289643,6.084614135625569,5.06262412664085,5.424907576442609,5.060391429698249,5.2321698758226844,6.921391952567619,0
2020-09-11,5.183144231385057,6.636983243977699,6.235508879563192,5.062668675441259,5.501218887684377,5.066535748987034,5.205413239007037,6.73429372870689,0
2020-09-12,5.334737845821874,7.2158209614627,6.7785691361721465,5.0622545937370536,5.877708795669388,5.06953907651707,5.1066772776790135,6.6915810615734355,2
2020-09-13,5.3257786603065105,6.924406245094552,6.556452118415104,5.068684085316344,5.645412854974153,5.0530259755448235,5.120580753702829,6.564119644092011,2
2020-09-14,5.2165939803052614,6.473875829094585,6.210861822060874,5.065483113303558,5.407128569130642,5.052420171213344,5.180206975090911,6.352231593973935,0
2020-09-15,5.099734505029062,6.308263029218569,6.009305364274789,5.064587452464726,5.389027738386025,5.089493601422886,5.364356007063501,6.539991521492418,0
2020-09-16,5.3875562719925725,7.320388214122599,6.841925648549424,5.053501305862341,5.883295552720493,5.062608406786775,5.077388680081851,6.774053009264169,2
2020-09-17,5.261608599475748,6.836248929305839,6.474847593455226,5.055106299172746,5.616736064647948,5.062232606858619,5.12666627157795,6.565117488762033,2
2020-09-18,5.150202238264164,6.351217888570331,6.019615480341229,5.0585314395596885,5.37985295665001,5.058599333118376,5.234796897253289,6.631684304271487,0
2020-09-19,5.243176501262684,6.648972070787107,6.290309765562336,5.060102383404399,5.493021796828842,5.051583324681559,5.148074775511715,6.60670023357268,0
2020-09-20,5.261058631118006,7.137906511910753,6.5870407475512645,5.055918770738016,5.6869426984798865,5.073005580878393,5.128615860427703,6.973910249845617,2
2020-09-21,5.125381819558364,6.534356069597727,5.991815400773216,5.054864728751144,5.361246935055699,5.068302943441475,5.26310044587505,7.159014524678499,0
2020-09-22,5.192297556317921,6.7896363487692035,6.128070135366061,5.061641091710606,5.459544517936303,5.052818704922335,5.192986989735526,7.331237269240873,0
2020-09-23,5.23838351344181,7.060124687076714,6.370226899041617,5.0512763424867195,5.70041135243224,5.059788144615506,5.131683033240779,7.296094065220103,2
2020-09-24,5.341072049447768,7.317936161054746,6.795605508501153,5.073605317386296,5.8550443174908535,5.069451348878644,5.121901400370973,6.875164983343732,2
2020-09-25,5.2000172347764115,7.006777076828391,6.4213626667775285,5.068966327861173,5.673290160398837,5.0791426500941785,5.204270427158373,7.084001352716518,2
2020-09-26,5.242166853310108,7.064237837370566,6.471790291565216,5.0696797164902785,5.631177251076914,5.068033627579715,5.16944566190471,7.084413101019757,2
2020-09-27,5.140038646926896,6.683849394776823,6.130531391629531,5.07282641151471,5.424907576442609,5.076212318028615,5.29945954807554,7.117531344573352,0
2020-09-28,5.129871294953256,6.737904082332612,6.191381161685707,5.076115518236853,5.501218887684377,5.090745258566007,5.331736044007077,7.0793706388704765,0
2020-09-29,5.174953345372344,6.837751574727948,6.376064085547505,5.0639984393510264,5.594675565163603,5.086220478917943,5.218638601749612,6.834623867697465,0
2020-09-30,5.309560752572802,7.181736699220823,6.692964701852474,5.054072712882487,5.808113558897175,5.068441596969914,5.102812447790174,6.82191586284956,2
2020-10-01,5.2341114092443535,7.0817004903489655,6.634949163559635,5.072457912387344,5.623982726119097,5.088399208161092,5.181706701596144,6.739331969469793,2
2020-10-02,5.285836635678959,7.136157273290271,6.79276001572453,5.0724081313641,5.777622496426858,5.085879456673897,5.146695835975569,6.457753267350457,2
2020-10-03,5.295470147507231,6.844805219399116,6.532378492247889,5.074413619290095,5.541225764400162,5.058081160339549,5.144971817895989,6.419259150732815,2
2020-10-04,5.1629063003785856,6.194793817878923,5.909957175494413,5.063055351374427,5.293256411937698,5.043421696306837,5.231249907086397,6.543952499598657,0
2020-10-05,5.222830415285994,6.454554277355481,6.009305364274789,5.079127412129037,5.303256977003098,5.035358408219944,5.206516762911396,6.932159576883294,0
2020-10-06,5.253750692838475,7.089902125589016,6.514713233225912,5.070484810977913,5.63832038436393,5.068347320845302,5.162915101495441,7.039565688711883,2
2020-10-07,5.257231618959624,7.080186727900749,6.531708719720225,5.0588195692456495,5.652455376499527,5.068853682376448,5.136705178939831,6.981599757880527,2
2020-10-08,5.144451281736795,6.420467725300092,5.864739555687858,5.060984564158465,5.24169604068445,5.045864013935697,5.251818880384389,7.259864190470897,0
2020-10-09,5.177004542761465,6.820878837712236,6.400955484162259,5.074049591303111,5.60208327075936,5.0881537700693835,5.244538229675439,6.73013596836986,0
2020-10-10,5.218198722304815,6.744518875795344,6.366247684242167,5.072975612085509,5.468019490893867,5.066088549328811,5.196540598839167,6.636141511288931,0
2020-10-11,5.209673928044609,6.742397460223641,6.3318760967382905,5.080902089594612,5.533351409301449,5.065818788170468,5.223778136135841,6.726579464516909,0
2020-10-12,5.205891536492188,6.599857391764529,6.36895938570694,5.091088895797154,5.541225764400162,5.071016032974117,5.252535403879903,6.202925843574504,0
2020-10-13,5.116275967038157,6.585882462820113,6.205608455021504,5.067744235448897,5.450997105451789,5.103892536893152,5.332464172634208,6.690606663192086,0
2020-10-14,5.220601017117014,6.673032908734434,6.2470953582298,5.081074458809975,5.579693470942865,5.054336483378623,5.2131133865546815,6.79037908057873,0
2020-10-15,5.296953267030351,7.0133670925417695,6.683599172818035,5.061581621269754,5.70041135243224,5.071149446626011,5.121361731274439,6.438835678372243,2
2020-10-16,5.257804522614106,7.357167328171798,6.903024472430933,5.07117895174334,5.808113558897175,5.110856995841396,5.161586633738674,6.711031802845662,2
2020-10-17,5.314940267833276,7.316408875845535,6.8835551703326345,5.059520130248774,5.771411110494695,5.085746674247299,5.109958555293109,6.6652629636709255,2
2020-10-18,5.202942198119473,6.834098368564838,6.398562265263855,5.058718207198044,5.484756957955677,5.075361675599553,5.175340099547832,6.767912890510565,0
2020-10-19,5.124870509384525,6.157382222259109,5.763372415770834,5.065525541358013,5.187331983658468,5.044013377530749,5.3043344464664255,6.950790398305629,0
2020-10-20,5.135888821722103,6.199474899179464,5.879416067036621,5.061354958237041,5.231057097284867,5.05073626204315,5.267631022919605,6.668816738636155,0
2020-10-21,5.205326508523852,6.742161469339342,6.272500267831751,5.079096366117888,5.389027738386025,5.061646635621683,5.224030546667366,6.884096239313565,0
2020-10-22,5.254450982618448,7.264933352591949,6.997504905789398,5.08027431214234,5.837702359566332,5.125775947105054,5.182434063534994,6.216974365580559,2
2020-10-23,5.176349521025138,6.644037574943597,6.337675575393105,5.080251305742168,5.525414556278168,5.080902000280313,5.262698877940352,6.447899506018555,0
2020-10-24,5.126842962631038,6.329703732627706,6.168606810505753,5.07805916492081,5.424907576442609,5.0898662627629365,5.345525901776692,5.990274277581056,0
2020-10-25,5.2019791720050605,6.727659682206283,6.423994031954884,5.070339811429491,5.5567908644387405,5.078560598299507,5.2057558041469045,6.418199719744516,0
2020-10-26,5.155649310521861,6.272103813537085,5.81803444220407,5.068434102740843,5.4764232418664855,5.0379695661598,5.258367592869568,7.0629688212613475,0
2020-10-27,5.1026513639008915,6.088569402084062,6.028640782530202,5.079161890334174,5.398119108208447,5.089709809284395,5.41668691731294,5.49143429540197,1
2020-10-28,5.183811638894735,6.56186534728146,6.328544395682502,5.08401508181742,5.484756957955677,5.0762141983014395,5.262637768243358,6.221039376842343,0
2020-10-29,5.144626216637752,6.385515369553057,6.114368594834108,5.061975498537441,5.389027738386025,5.0716912943567145,5.254873981741045,6.410845537352838,0
2020-10-30,5.115585922293485,6.325058298592729,5.947382991006656,5.061816456314121,5.293256411937698,5.068992436687969,5.310798758473783,6.7934496259041754,0
2020-10-31,5.216034968953865,6.916903670633975,6.397679983796959,5.0637913627841336,5.579693470942865,5.070011891111438,5.176629114154208,6.954992678917463,2
2020-11-01,5.316974073256528,7.069695852439633,6.743494086847785,5.0527923964961134,5.6869426984798865,5.0710808709165605,5.097834501770104,6.419179094328921,2
